gameid,url,league,year,date,game,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,total cs
TRLH3/33,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,1/14/2014 17:52,1,1,Blue,top,sOAZ,Fnatic,Trundle,Riven,Kha'Zix,Yasuo,,,1924,1,3,0,13,209
TRLH3/33,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,1/14/2014 17:52,1,2,Blue,jng,Cyanide,Fnatic,Vi,Riven,Kha'Zix,Yasuo,,,1924,1,0,4,14,115
TRLH3/33,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,1/14/2014 17:52,1,3,Blue,mid,xPeke,Fnatic,Orianna,Riven,Kha'Zix,Yasuo,,,1924,1,10,1,7,276
TRLH3/33,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,1/14/2014 17:52,1,4,Blue,bot,Rekkles,Fnatic,Jinx,Riven,Kha'Zix,Yasuo,,,1924,1,8,0,9,282
TRLH3/33,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,1/14/2014 17:52,1,5,Blue,sup,YellOwStaR,Fnatic,Annie,Riven,Kha'Zix,Yasuo,,,1924,1,0,0,15,11
TRLH3/33,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,1/14/2014 17:52,1,6,Red,top,Darien,Gambit Gaming,Dr. Mundo,Kassadin,Nidalee,Elise,,,1924,0,1,5,2,232
TRLH3/33,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,1/14/2014 17:52,1,7,Red,jng,Diamondprox,Gambit Gaming,Shyvana,Kassadin,Nidalee,Elise,,,1924,0,2,3,2,164
TRLH3/33,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,1/14/2014 17:52,1,8,Red,mid,Alex Ich,Gambit Gaming,LeBlanc,Kassadin,Nidalee,Elise,,,1924,0,2,2,2,269
TRLH3/33,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,1/14/2014 17:52,1,9,Red,bot,Genja,Gambit Gaming,Lucian,Kassadin,Nidalee,Elise,,,1924,0,0,5,0,211
TRLH3/33,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,1/14/2014 17:52,1,10,Red,sup,Edward,Gambit Gaming,Thresh,Kassadin,Nidalee,Elise,,,1924,0,0,6,2,36
TRLH3/33,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,1/14/2014 17:52,1,100,Blue,team,,Fnatic,,Riven,Kha'Zix,Yasuo,,,1924,1,21,5,58,
TRLH3/33,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,1/14/2014 17:52,1,200,Red,team,,Gambit Gaming,,Kassadin,Nidalee,Elise,,,1924,0,5,21,8,
